name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Bond Fund,"153,275,053,618.5470","1,373,519,888.4666",111.5929,111.5929,111.5929,27-01-2022
Umoja Fund,"272,543,078,196.0000","346,939,815.3748",785.563,785.563,777.7074,26-01-2022
Wekeza Maisha Fund,"2,717,558,815.5241","4,077,339.0978",666.503,666.503,653.173,26-01-2022
Watoto Fund,"4,750,494,364.2863","9,741,044.7551",487.6781,487.6781,482.8013,26-01-2022
Jikimu Fund,"17,195,174,013.8890","114,660,170.6535",149.9664,149.9664,146.9671,26-01-2022
Liquid Fund,"303,433,181,748.6040","995,025,404.0922",304.9502,304.9502,304.9502,26-01-2022
Bond Fund,"152,590,775,408.6270","1,367,824,370.4501",111.5573,111.5573,111.5573,26-01-2022
Umoja Fund,"272,434,201,180.6600","347,011,037.4122",785.088,785.088,777.2371,25-01-2022
Wekeza Maisha Fund,"2,714,422,907.1669","4,073,512.0449",666.3594,666.3594,653.0322,25-01-2022
Watoto Fund,"4,743,969,783.9649","9,728,146.2752",487.654,487.654,482.7775,25-01-2022
Jikimu Fund,"17,196,960,902.6836","114,646,154.3009",150.0003,150.0003,147.0003,25-01-2022
Liquid Fund,"301,231,920,166.1040","988,123,578.5406",304.8525,304.8525,304.8525,25-01-2022
Bond Fund,"152,134,156,185.0630","1,364,163,234.7133",111.522,111.522,111.522,25-01-2022
Umoja Fund,"272,626,856,051.0660","347,196,564.9236",785.2234,785.2234,777.3711,24-01-2022
Wekeza Maisha Fund,"2,706,811,445.3437","4,062,979.2093",666.2135,666.2135,652.8892,24-01-2022
Watoto Fund,"4,731,066,671.3715","9,701,543.4757",487.6612,487.6612,482.7846,24-01-2022
Jikimu Fund,"17,261,475,773.7774","115,085,968.3748",149.9877,149.9877,146.9879,24-01-2022
Liquid Fund,"297,444,939,725.9990","976,016,046.3246",304.7541,304.7541,304.7541,24-01-2022
Bond Fund,"152,057,701,699.2800","1,363,919,930.3349",111.4858,111.4858,111.4858,24-01-2022
Umoja Fund,"272,275,928,940.5120","347,167,814.8990",784.2776,784.2776,776.4348,21-01-2022
Wekeza Maisha Fund,"2,691,875,425.4277","4,045,899.0737",665.3343,665.3343,652.0276,21-01-2022
Watoto Fund,"4,717,966,134.1237","9,686,791.4422",487.0515,487.0515,482.181,21-01-2022
Jikimu Fund,"17,207,786,934.2243","114,907,354.9724",149.7536,149.7536,146.7585,21-01-2022
Liquid Fund,"296,251,642,569.1420","973,056,476.1125",304.4547,304.4547,304.4547,21-01-2022
Bond Fund,"151,489,038,426.6410","1,360,095,712.4590",111.3812,111.3812,111.3812,21-01-2022
Umoja Fund,"271,501,092,192.8370","347,142,963.2716",782.1017,782.1017,774.2807,20-01-2022
Wekeza Maisha Fund,"2,688,786,882.3291","4,042,142.2446",665.1886,665.1886,651.8848,20-01-2022
Watoto Fund,"4,713,653,796.2099","9,684,469.7931",486.723,486.723,481.8557,20-01-2022
Jikimu Fund,"17,156,067,917.3940","114,623,803.1179",149.6728,149.6728,146.6794,20-01-2022
Liquid Fund,"296,890,808,706.9440","975,464,067.9865",304.3585,304.3585,304.3585,20-01-2022
Bond Fund,"151,067,947,592.5850","1,356,730,637.1780",111.347,111.347,111.347,20-01-2022
Umoja Fund,"271,447,051,468.5530","347,129,686.3652",781.9759,781.9759,774.1561,19-01-2022
Wekeza Maisha Fund,"2,683,353,568.8612","4,034,852.3222",665.0438,665.0438,651.7429,19-01-2022
Watoto Fund,"4,708,786,400.9945","9,676,557.8865",486.6179,486.6179,481.7517,19-01-2022
Jikimu Fund,"17,144,997,257.5380","114,576,054.7344",149.6386,149.6386,146.6458,19-01-2022
Liquid Fund,"297,086,801,497.9860","976,430,184.1952",304.2581,304.2581,304.2581,19-01-2022
Bond Fund,"150,848,810,126.7140","1,355,178,454.3070",111.3129,111.3129,111.3129,19-01-2022
Umoja Fund,"271,283,470,930.8230","346,977,096.0575",781.8484,781.8484,774.0299,18-01-2022
Wekeza Maisha Fund,"2,677,420,503.6240","4,026,814.4314",664.8979,664.8979,651.6,18-01-2022
Watoto Fund,"4,660,205,812.7862","9,578,760.1385",486.5145,486.5145,481.6494,18-01-2022
Jikimu Fund,"17,179,005,021.3280","114,829,319.5287",149.6047,149.6047,146.6126,18-01-2022
Liquid Fund,"321,911,543,833.9160","1,058,385,177.8000",304.1535,304.1535,304.1535,18-01-2022
Bond Fund,"150,409,428,879.7230","1,351,647,656.1322",111.2786,111.2786,111.2786,18-01-2022
Umoja Fund,"271,137,642,716.5940","346,958,428.4835",781.4701,781.4701,773.6554,17-01-2022
Wekeza Maisha Fund,"2,675,364,039.0556","4,024,606.2385",664.7517,664.7517,651.4567,17-01-2022
Watoto Fund,"4,652,109,082.7021","9,566,409.6409",486.2962,486.2962,481.4333,17-01-2022
Jikimu Fund,"17,171,945,566.4280","114,826,210.1445",149.5473,149.5473,146.5563,17-01-2022
Liquid Fund,"324,929,642,793.3930","1,068,650,417.6338",304.0561,304.0561,304.0561,17-01-2022
Bond Fund,"149,831,015,954.9530","1,346,864,807.3519",111.2443,111.2443,111.2443,17-01-2022
Umoja Fund,"271,028,067,651.3420","347,051,319.6582",780.9452,780.9452,773.1358,14-01-2022
Wekeza Maisha Fund,"2,652,531,345.8937","3,994,240.2779",664.0891,664.0891,650.8073,14-01-2022
Watoto Fund,"4,663,891,542.4080","9,595,734.8121",486.038,486.038,481.1776,14-01-2022
Jikimu Fund,"17,213,000,111.6663","115,184,853.0615",149.4381,149.4381,146.4493,14-01-2022
Liquid Fund,"326,439,963,986.4790","1,074,614,361.1925",303.7741,303.7741,303.7741,14-01-2022
Bond Fund,"149,649,585,542.7620","1,346,488,498.8818",111.1406,111.1406,111.1406,14-01-2022
Umoja Fund,"270,779,207,148.1890","347,003,515.3177",780.3356,780.3356,772.5323,13-01-2022
Wekeza Maisha Fund,"2,644,207,099.8368","3,986,647.5482",663.2658,663.2658,650.0005,13-01-2022
Watoto Fund,"4,653,617,906.8379","9,582,202.4943",485.6522,485.6522,480.7957,13-01-2022
Jikimu Fund,"17,195,023,280.4993","115,183,412.8516",149.2838,149.2838,146.2982,13-01-2022
Liquid Fund,"326,741,016,498.5030","1,075,936,668.7820",303.6805,303.6805,303.6805,13-01-2022
Bond Fund,"149,601,005,691.7970","1,346,469,290.1815",111.1061,111.1061,111.1061,13-01-2022
Umoja Fund,"270,680,047,079.5050","346,986,379.2459",780.0884,780.0884,772.2875,11-01-2022
Wekeza Maisha Fund,"2,612,028,173.4704","3,939,873.4114",662.9726,662.9726,649.7132,11-01-2022
Watoto Fund,"4,633,993,402.8903","9,545,895.4956",485.4436,485.4436,480.5891,11-01-2022
Jikimu Fund,"17,182,024,657.6254","115,149,053.1932",149.2155,149.2155,146.2312,11-01-2022
Liquid Fund,"326,352,985,983.3900","1,075,318,872.6914",303.4941,303.4941,303.4941,11-01-2022
Bond Fund,"149,200,053,679.8530","1,343,694,586.5038",111.0372,111.0372,111.0372,11-01-2022
Umoja Fund,"270,751,432,891.6190","347,061,223.6738",780.1259,780.1259,772.3246,10-01-2022
Wekeza Maisha Fund,"2,624,736,828.3157","3,958,683.5871",663.0327,663.0327,649.7721,10-01-2022
Watoto Fund,"4,633,953,744.8420","9,546,028.3593",485.4326,485.4326,480.5783,10-01-2022
Jikimu Fund,"17,182,275,465.7486","115,147,433.2687",149.2198,149.2198,146.2354,10-01-2022
Liquid Fund,"316,750,122,402.3130","1,043,993,786.1158",303.4023,303.4023,303.4023,10-01-2022
Bond Fund,"148,631,092,024.2660","1,338,987,582.7882",111.0026,111.0026,111.0026,10-01-2022
Umoja Fund,"270,591,001,696.3910","347,020,826.7975",779.7544,779.7544,771.9568,07-01-2022
Wekeza Maisha Fund,"2,567,692,694.0409","3,875,206.4759",662.5951,662.5951,649.3432,07-01-2022
Watoto Fund,"4,627,843,025.9906","9,539,617.5520",485.1183,485.1183,480.2671,07-01-2022
Jikimu Fund,"17,032,632,566.4696","114,219,384.5029",149.1221,149.1221,146.1396,07-01-2022
Liquid Fund,"316,144,908,540.3110","1,042,977,121.2678",303.1178,303.1178,303.1178,07-01-2022
Bond Fund,"148,102,035,340.1930","1,335,474,210.1903",110.8985,110.8985,110.8985,07-01-2022
Umoja Fund,"270,354,791,836.0670","346,995,380.0156",779.1308,779.1308,771.3395,06-01-2022
Wekeza Maisha Fund,"2,563,239,476.0946","3,869,356.8649",662.4459,662.4459,649.197,06-01-2022
Watoto Fund,"4,625,101,394.3075","9,536,475.1766",484.9907,484.9907,480.1408,06-01-2022
Jikimu Fund,"17,028,093,430.7917","114,217,632.9704",149.0846,149.0846,146.1029,06-01-2022
Liquid Fund,"313,237,715,558.1960","1,033,731,278.6951",303.0166,303.0166,303.0166,06-01-2022
Bond Fund,"147,145,748,333.1610","1,327,290,828.6726",110.8617,110.8617,110.8617,06-01-2022
Umoja Fund,"270,294,635,112.0130","346,978,291.7333",778.9958,778.9958,771.2059,05-01-2022
Wekeza Maisha Fund,"2,558,066,418.5165","3,862,418.8846",662.2965,662.2965,649.0505,05-01-2022
Watoto Fund,"4,617,005,578.1478","9,525,926.6366",484.6778,484.6778,479.8311,05-01-2022
Jikimu Fund,"17,014,117,153.4274","114,183,607.6546",149.0067,149.0067,146.0265,05-01-2022
Liquid Fund,"306,753,895,955.5490","1,012,648,529.1815",302.9224,302.9224,302.9224,05-01-2022
Bond Fund,"146,833,461,544.3760","1,324,890,312.9150",110.8269,110.8269,110.8269,05-01-2022
Umoja Fund,"269,771,207,099.0050","347,011,676.1573",777.4125,777.4125,769.6384,04-01-2022
Wekeza Maisha Fund,"2,547,170,641.1810","3,859,053.9906",660.0505,660.0505,646.8495,04-01-2022
Watoto Fund,"4,603,216,717.5291","9,516,224.8030",483.723,483.723,478.8858,04-01-2022
Jikimu Fund,"16,971,714,030.6700","114,192,783.2698",148.6234,148.6234,145.6509,04-01-2022
Liquid Fund,"306,237,412,588.3700","1,011,266,346.1438",302.8257,302.8257,302.8257,04-01-2022
Bond Fund,"146,564,851,844.7040","1,322,894,355.0367",110.791,110.791,110.791,04-01-2022
Umoja Fund,"269,615,703,800.9170","346,975,342.6423",777.0457,777.0457,769.2753,03-01-2022
Wekeza Maisha Fund,"2,540,062,721.1854","3,849,153.7419",659.9016,659.9016,646.7036,03-01-2022
Watoto Fund,"4,602,935,365.3049","9,514,829.4960",483.7644,483.7644,478.9267,03-01-2022
Jikimu Fund,"16,991,404,415.1876","114,325,395.6009",148.6232,148.6232,145.6507,03-01-2022
Liquid Fund,"304,978,147,758.3510","1,007,429,856.2471",302.7289,302.7289,302.7289,03-01-2022
Bond Fund,"145,735,440,195.6200","1,315,813,218.1415",110.7569,110.7569,110.7569,03-01-2022
Umoja Fund,"269,464,695,816.8300","346,944,029.7979",776.6806,776.6806,768.9138,31-12-2021
Wekeza Maisha Fund,"2,536,594,365.2224","3,846,519.6960",659.4518,659.4518,646.2628,31-12-2021
Watoto Fund,"4,598,985,121.8855","9,512,862.3491",483.4491,483.4491,478.6146,31-12-2021
Jikimu Fund,"17,321,643,760.2288","114,319,474.6631",151.5196,151.5196,148.4892,31-12-2021
Liquid Fund,"304,337,356,374.4440","1,006,286,821.5586",302.436,302.436,302.436,31-12-2021
Bond Fund,"146,666,585,741.9800","1,313,604,650.7501",111.652,111.652,111.652,31-12-2021
Umoja Fund,"269,426,072,094.8340","346,949,780.8444",776.5564,776.5564,768.7908,30-12-2021
Wekeza Maisha Fund,"2,535,282,109.7665","3,845,403.4470",659.302,659.302,646.1159,30-12-2021
Watoto Fund,"4,596,692,092.8833","9,510,183.0987",483.3442,483.3442,478.5108,30-12-2021
Jikimu Fund,"17,317,073,407.3641","114,315,183.8177",151.4853,151.4853,148.4556,30-12-2021
Liquid Fund,"303,191,505,543.4360","1,002,818,708.9379",302.3393,302.3393,302.3393,30-12-2021
Bond Fund,"146,278,660,420.8540","1,310,535,662.8081",111.6175,111.6175,111.6175,30-12-2021
Umoja Fund,"269,366,758,910.1440","347,042,051.6402",776.179,776.179,768.4172,29-12-2021
Wekeza Maisha Fund,"2,533,150,879.5621","3,843,044.2797",659.1521,659.1521,645.9691,29-12-2021
Watoto Fund,"4,602,460,394.7374","9,526,523.7968",483.1207,483.1207,478.2894,29-12-2021
Jikimu Fund,"17,316,890,447.9639","114,357,776.6366",151.4273,151.4273,148.3988,29-12-2021
Liquid Fund,"301,899,369,879.2990","998,864,995.0321",302.2424,302.2424,302.2424,29-12-2021
Bond Fund,"146,076,733,462.7030","1,309,148,255.2050",111.5815,111.5815,111.5815,29-12-2021
Umoja Fund,"269,640,856,685.7170","347,029,670.8943",776.9965,776.9965,769.2266,28-12-2021
Wekeza Maisha Fund,"2,529,657,572.4135","3,838,613.9611",659.0029,659.0029,645.8228,28-12-2021
Watoto Fund,"4,608,036,498.7799","9,521,384.5525",483.9671,483.9671,479.1274,28-12-2021
Jikimu Fund,"17,331,371,028.5545","114,298,013.7957",151.6332,151.6332,148.6005,28-12-2021
Liquid Fund,"301,307,094,693.3020","997,226,246.6550",302.1452,302.1452,302.1452,28-12-2021
Bond Fund,"145,762,918,637.3510","1,306,740,448.8104",111.547,111.547,111.547,28-12-2021
Umoja Fund,"269,597,943,709.2800","347,029,275.8685",776.8738,776.8738,769.105,27-12-2021
Wekeza Maisha Fund,"2,518,898,713.0791","3,823,153.3206",658.8537,658.8537,645.6766,27-12-2021
Watoto Fund,"4,605,194,595.7474","9,517,570.6809",483.8624,483.8624,479.0238,27-12-2021
Jikimu Fund,"17,324,654,121.3629","114,279,544.0047",151.5989,151.5989,148.5669,27-12-2021
Liquid Fund,"300,635,377,922.9310","995,324,227.2056",302.0477,302.0477,302.0477,27-12-2021
Bond Fund,"144,812,477,653.4430","1,303,117,766.2279",111.1277,111.1277,111.1277,27-12-2021
Umoja Fund,"269,471,313,061.7220","347,024,517.6633",776.5195,776.5195,768.7543,24-12-2021
Wekeza Maisha Fund,"2,503,795,250.7234","3,802,816.3095",658.4055,658.4055,645.2374,24-12-2021
Watoto Fund,"4,597,993,659.4714","9,503,750.7561",483.8083,483.8083,478.9702,24-12-2021
Jikimu Fund,"17,308,853,149.6832","114,211,925.7947",151.5503,151.5503,148.5193,24-12-2021
Liquid Fund,"304,048,674,796.4670","1,007,607,340.2040",301.7531,301.7531,301.7531,24-12-2021
Bond Fund,"143,881,787,952.8090","1,295,997,069.8580",111.0201,111.0201,111.0201,24-12-2021
Umoja Fund,"269,065,305,483.9260","347,009,545.8360",775.383,775.383,767.6292,23-12-2021
Wekeza Maisha Fund,"2,491,684,124.0677","3,785,282.0953",658.2559,658.2559,645.0907,23-12-2021
Watoto Fund,"4,588,514,913.5171","9,495,183.7017",483.2466,483.2466,478.4141,23-12-2021
Jikimu Fund,"17,299,172,943.7627","114,245,589.3767",151.4209,151.4209,148.3925,23-12-2021
Liquid Fund,"303,163,319,202.9200","1,004,990,199.9727",301.658,301.658,301.658,23-12-2021
Bond Fund,"143,529,168,428.1060","1,293,239,554.5565",110.9842,110.9842,110.9842,23-12-2021
Umoja Fund,"269,001,895,854.3780","346,982,591.7767",775.2605,775.2605,767.5079,22-12-2021
Wekeza Maisha Fund,"2,488,676,337.9810","3,781,596.0048",658.1021,658.1021,644.9401,22-12-2021
Watoto Fund,"4,585,967,649.8405","9,491,965.1870",483.1421,483.1421,478.3106,22-12-2021
Jikimu Fund,"17,293,845,483.7844","114,236,282.0799",151.3866,151.3866,148.3589,22-12-2021
Liquid Fund,"302,974,064,251.4870","1,004,685,499.2303",301.5611,301.5611,301.5611,22-12-2021
Bond Fund,"142,833,972,597.7100","1,287,393,613.0833",110.9482,110.9482,110.9482,22-12-2021
Umoja Fund,"269,333,904,977.3150","347,321,566.8838",775.4598,775.4598,767.7052,21-12-2021
Wekeza Maisha Fund,"2,466,213,302.4192","3,778,055.4734",652.7732,652.7732,639.7177,21-12-2021
Watoto Fund,"4,583,427,157.0527","9,526,760.6210",481.1108,481.1108,476.2997,21-12-2021
Jikimu Fund,"17,277,324,481.9151","114,482,991.2635",150.9161,150.9161,147.8978,21-12-2021
Liquid Fund,"302,181,692,879.1810","1,002,380,602.8977",301.464,301.464,301.464,21-12-2021
Bond Fund,"142,098,074,969.7900","1,281,177,820.6585",110.9121,110.9121,110.9121,21-12-2021
Umoja Fund,"269,280,626,264.9990","347,302,236.8912",775.3495,775.3495,767.596,20-12-2021
Wekeza Maisha Fund,"2,461,874,359.3770","3,772,244.3571",652.6285,652.6285,639.576,20-12-2021
Watoto Fund,"4,578,892,197.5827","9,519,378.1994",481.0075,481.0075,476.1974,20-12-2021
Jikimu Fund,"17,267,490,096.5092","114,443,225.2467",150.8826,150.8826,147.8649,20-12-2021
Liquid Fund,"310,349,835,396.4140","1,029,770,042.3527",301.3778,301.3778,301.3778,20-12-2021
Bond Fund,"142,010,290,973.5030","1,280,777,807.3226",110.8782,110.8782,110.8782,20-12-2021
Umoja Fund,"268,042,523,312.2170","347,276,420.4908",771.842,771.842,764.1236,17-12-2021
Wekeza Maisha Fund,"2,452,000,435.9315","3,763,443.4767",651.5311,651.5311,638.5005,17-12-2021
Watoto Fund,"4,562,723,041.6932","9,515,392.6308",479.5097,479.5097,474.7146,17-12-2021
Jikimu Fund,"17,225,109,515.4570","114,479,939.7701",150.464,150.464,147.4547,17-12-2021
Liquid Fund,"310,755,255,148.5020","1,032,959,769.8362",300.8396,300.8396,300.8396,17-12-2021
Bond Fund,"141,330,038,552.8440","1,275,841,236.4661",110.774,110.774,110.774,17-12-2021
Umoja Fund,"267,505,308,491.0290","347,270,481.3096",770.3082,770.3082,762.6051,16-12-2021
Wekeza Maisha Fund,"2,450,169,851.6944","3,761,521.3958",651.3774,651.3774,638.3498,16-12-2021
Watoto Fund,"4,545,906,973.1195","9,515,099.5950",477.7572,477.7572,472.9796,16-12-2021
Jikimu Fund,"17,158,655,576.9986","114,372,423.9260",150.0244,150.0244,147.0239,16-12-2021
Liquid Fund,"309,816,719,875.9160","1,030,168,880.1557",300.7436,300.7436,300.7436,16-12-2021
Bond Fund,"141,066,824,756.6720","1,273,871,432.7744",110.7387,110.7387,110.7387,16-12-2021
Umoja Fund,"267,559,275,112.7190","347,338,895.3248",770.3119,770.3119,762.6088,15-12-2021
Wekeza Maisha Fund,"2,441,103,042.8529","3,748,491.6357",651.2228,651.2228,638.1983,15-12-2021
Watoto Fund,"4,537,194,804.2484","9,499,474.4231",477.6259,477.6259,472.8496,15-12-2021
Jikimu Fund,"17,171,036,325.3266","114,485,158.8037",149.9848,149.9848,146.9851,15-12-2021
Liquid Fund,"309,694,407,171.2490","1,030,092,177.3204",300.6473,300.6473,300.6473,15-12-2021
Bond Fund,"140,890,021,814.8660","1,272,686,167.5182",110.7029,110.7029,110.7029,15-12-2021
Umoja Fund,"267,496,317,185.7910","347,318,241.4132",770.1764,770.1764,762.4746,14-12-2021
Wekeza Maisha Fund,"2,436,688,345.2295","3,741,710.3409",651.071,651.071,638.0496,14-12-2021
Watoto Fund,"4,531,422,963.1496","9,494,154.3486",477.2856,477.2856,472.5127,14-12-2021
Jikimu Fund,"17,163,023,260.1154","114,495,285.8348",149.9016,149.9016,146.9035,14-12-2021
Liquid Fund,"308,124,010,430.2910","1,025,196,750.4541",300.5511,300.5511,300.5511,14-12-2021
Bond Fund,"139,461,859,560.2420","1,260,168,948.5228",110.6692,110.6692,110.6692,14-12-2021
Umoja Fund,"267,165,520,051.5380","347,297,462.4579",769.27,769.27,761.5773,13-12-2021
Wekeza Maisha Fund,"2,433,158,190.4434","3,738,047.8141",650.9168,650.9168,637.8985,13-12-2021
Watoto Fund,"4,523,544,398.9109","9,490,744.9733",476.6269,476.6269,471.8606,13-12-2021
Jikimu Fund,"17,140,364,675.4963","114,457,517.0737",149.7531,149.7531,146.758,13-12-2021
Liquid Fund,"306,650,955,246.4880","1,020,619,209.1258",300.4558,300.4558,300.4558,13-12-2021
Bond Fund,"139,095,448,003.5550","1,257,255,259.7930",110.6342,110.6342,110.6342,13-12-2021
Umoja Fund,"267,015,688,808.0200","347,268,997.2102",768.9016,768.9016,761.2126,10-12-2021
Wekeza Maisha Fund,"2,401,589,186.8960","3,692,157.9232",650.4568,650.4568,637.4477,10-12-2021
Watoto Fund,"4,510,871,328.8770","9,470,480.7996",476.3086,476.3086,471.5455,10-12-2021
Jikimu Fund,"17,123,457,775.8497","114,423,804.9438",149.6494,149.6494,146.6564,10-12-2021
Liquid Fund,"305,285,895,106.0910","1,017,049,504.1760",300.1682,300.1682,300.1682,10-12-2021
Bond Fund,"138,548,398,934.5730","1,253,499,840.9857",110.5293,110.5293,110.5293,10-12-2021
Umoja Fund,"267,313,659,291.4070","347,367,364.0219",769.5417,769.5417,761.8462,08-12-2021
Wekeza Maisha Fund,"2,380,825,939.6881","3,661,982.6266",650.1467,650.1467,637.1438,08-12-2021
Watoto Fund,"4,523,250,849.2962","9,482,730.5523",476.9988,476.9988,472.2288,08-12-2021
Jikimu Fund,"17,171,136,855.3862","114,597,651.2078",149.8385,149.8385,146.8417,08-12-2021
Liquid Fund,"304,646,327,994.8140","1,015,561,071.2897",299.9783,299.9783,299.9783,08-12-2021
Bond Fund,"137,427,791,276.2040","1,246,409,251.3961",110.259,110.259,110.259,08-12-2021
Umoja Fund,"267,151,908,603.4140","347,363,171.7454",769.0853,769.0853,761.3944,07-12-2021
Wekeza Maisha Fund,"2,377,844,261.0164","3,661,043.4413",649.4991,649.4991,636.5091,07-12-2021
Watoto Fund,"4,518,520,945.9977","9,482,331.8282",476.52,476.52,471.7548,07-12-2021
Jikimu Fund,"17,128,463,869.3184","114,427,297.5536",149.6886,149.6886,146.6948,07-12-2021
Liquid Fund,"301,938,031,953.2200","1,006,850,288.6646",299.8837,299.8837,299.8837,07-12-2021
Bond Fund,"137,204,746,049.8160","1,244,792,317.1498",110.223,110.223,110.223,07-12-2021
Umoja Fund,"266,951,289,891.0520","347,344,414.3276",768.5493,768.5493,760.8638,06-12-2021
Wekeza Maisha Fund,"2,360,129,686.3884","3,634,639.8503",649.3435,649.3435,636.3566,06-12-2021
Watoto Fund,"4,506,360,445.3100","9,470,984.7899",475.807,475.807,471.0489,06-12-2021
Jikimu Fund,"17,098,077,434.0413","114,384,769.7265",149.4786,149.4786,146.489,06-12-2021
Liquid Fund,"300,313,579,247.1470","1,001,751,459.8848",299.7885,299.7885,299.7885,06-12-2021
Bond Fund,"136,526,349,706.8640","1,239,030,537.4802",110.188,110.188,110.188,06-12-2021
Umoja Fund,"266,824,697,646.7860","347,338,367.7106",768.1982,768.1982,760.5162,03-12-2021
Wekeza Maisha Fund,"2,357,568,355.0142","3,633,329.8859",648.8726,648.8726,635.8952,03-12-2021
Watoto Fund,"4,502,174,084.1982","9,468,517.8546",475.4888,475.4888,470.7339,03-12-2021
Jikimu Fund,"17,084,993,014.1484","114,376,455.0876",149.3751,149.3751,146.3876,03-12-2021
